Iteration	CPUTime	PhysTime	Travels
561	58	0.722494461	14.025
562	58	0.723812503	14.05
563	58	0.725131031	14.075
564	58	0.726449073	14.1
565	58	0.727767601	14.125
566	58	0.729085642	14.15
567	58	0.73040417	14.175
568	58	0.731722212	14.2
569	58	0.73304074	14.225
570	59	0.734358782	14.25
571	59	0.73567731	14.275
572	59	0.736995352	14.3
573	59	0.73831388	14.325
574	59	0.739631922	14.35
575	59	0.740950449	14.375
576	59	0.742268491	14.4
577	59	0.743587019	14.425
578	59	0.744905061	14.45
579	59	0.746223589	14.475
580	60	0.747541631	14.5
581	60	0.748860159	14.525
582	60	0.750178201	14.55
583	60	0.751496729	14.575
584	60	0.75281477	14.6
585	60	0.754133298	14.625
586	60	0.75545134	14.65
587	60	0.756769868	14.675
588	60	0.75808791	14.7
589	60	0.759406438	14.725
590	61	0.76072448	14.75
591	61	0.762043008	14.775
592	61	0.763361049	14.8
593	61	0.764679577	14.825
594	61	0.765997619	14.85
595	61	0.767316147	14.875
596	61	0.768634189	14.9
597	61	0.769952717	14.925
598	61	0.771270759	14.95
599	61	0.772589287	14.975
600	62	0.773907329	15
601	62	0.775225856	15.025
602	62	0.776543898	15.05
603	62	0.777862426	15.075
604	62	0.779180468	15.1
605	62	0.780498996	15.125
606	62	0.781817038	15.15
607	62	0.783135566	15.175
608	62	0.784453608	15.2
609	62	0.785772136	15.225
610	63	0.787090177	15.25
611	63	0.788408705	15.275
612	63	0.789726747	15.3
613	63	0.791045275	15.325
614	63	0.792363317	15.35
615	63	0.793681845	15.375
616	63	0.794999887	15.4
617	63	0.796318415	15.425
618	63	0.797636456	15.45
619	63	0.798954984	15.475
620	64	0.800273026	15.5
621	64	0.801591554	15.525
622	64	0.802909596	15.55
623	64	0.804228124	15.575
624	64	0.805546166	15.6
625	64	0.806864694	15.625
626	64	0.808182736	15.65
627	64	0.809501264	15.675
628	64	0.810819305	15.7
629	65	0.812137833	15.725
630	65	0.813455875	15.75
631	65	0.814774403	15.775
632	65	0.816092445	15.8
633	65	0.817410973	15.825
634	65	0.818729015	15.85
635	65	0.820047543	15.875
636	65	0.821365584	15.9
637	65	0.822684112	15.925
638	65	0.824002154	15.95
639	66	0.825320682	15.975
640	66	0.826638724	16
641	66	0.827957252	16.025
642	66	0.829275294	16.05
643	66	0.830593822	16.075
644	66	0.831911863	16.1
645	66	0.833230391	16.125
646	66	0.834548433	16.15
647	66	0.835866961	16.175
648	66	0.837185003	16.2
649	67	0.838503531	16.225
650	67	0.839821573	16.25
651	67	0.841140101	16.275
652	67	0.842458143	16.3
653	67	0.843776671	16.325
654	67	0.845094712	16.35
655	67	0.84641324	16.375
656	67	0.847731282	16.4
657	67	0.84904981	16.425
658	68	0.850367852	16.45
659	68	0.85168638	16.475
660	68	0.853004422	16.5
661	68	0.85432295	16.525
662	68	0.855640991	16.55
663	68	0.856959519	16.575
664	68	0.858277561	16.6
665	68	0.859596089	16.625
666	68	0.860914131	16.65
667	68	0.862232659	16.675
668	69	0.863550701	16.7
669	69	0.864869229	16.725
670	69	0.866187271	16.75
671	69	0.867505798	16.775
672	69	0.86882384	16.8
673	69	0.870142368	16.825
674	69	0.87146041	16.85
675	69	0.872778938	16.875
676	69	0.87409698	16.9
677	69	0.875415508	16.925
678	70	0.87673355	16.95
679	70	0.878052078	16.975
680	70	0.879370119	17
681	70	0.880688647	17.025
682	70	0.882006689	17.05
683	70	0.883325217	17.075
684	70	0.884643259	17.1
685	70	0.885961787	17.125
686	70	0.887279829	17.15
687	71	0.888598357	17.175
688	71	0.889916398	17.2
689	71	0.891234926	17.225
690	71	0.892552968	17.25
691	71	0.893871496	17.275
692	71	0.895189538	17.3
693	71	0.896508066	17.325
694	71	0.897826108	17.35
695	71	0.899144636	17.375
696	72	0.900462678	17.4
697	72	0.901781205	17.425
698	72	0.903099247	17.45
699	72	0.904417775	17.475
700	72	0.905735817	17.5
701	72	0.907054345	17.525
702	72	0.908372387	17.55
703	72	0.909690915	17.575
704	72	0.911008957	17.6
705	72	0.912327485	17.625
706	73	0.913645526	17.65
707	73	0.914964054	17.675
708	73	0.916282096	17.7
709	73	0.917600624	17.725
710	73	0.918918666	17.75
711	73	0.920237194	17.775
712	73	0.921555236	17.8
713	73	0.922873764	17.825
714	73	0.924191805	17.85
715	74	0.925510333	17.875
716	74	0.926828375	17.9
717	74	0.928146903	17.925
718	74	0.929464945	17.95
719	74	0.930783473	17.975
720	74	0.932101515	18
721	74	0.933420043	18.025
722	74	0.934738085	18.05
723	74	0.936056613	18.075
724	75	0.937374654	18.1
725	75	0.938693182	18.125
726	75	0.940011224	18.15
727	75	0.941329752	18.175
728	75	0.942647794	18.2
729	75	0.943966322	18.225
730	75	0.945284364	18.25
731	75	0.946602892	18.275
732	75	0.947920933	18.3
733	75	0.949239461	18.325
734	76	0.950557503	18.35
735	76	0.951876031	18.375
736	76	0.953194073	18.4
737	76	0.954512601	18.425
738	76	0.955830643	18.45
739	76	0.957149171	18.475
740	76	0.958467213	18.5
741	76	0.95978574	18.525
742	76	0.961103782	18.55
743	77	0.96242231	18.575
744	77	0.963740352	18.6
745	77	0.96505888	18.625
746	77	0.966376922	18.65
747	77	0.96769545	18.675
748	77	0.969013492	18.7
749	77	0.97033202	18.725
750	77	0.971650061	18.75
751	77	0.972968589	18.775
752	78	0.974286631	18.8
753	78	0.975605159	18.825
754	78	0.976923201	18.85
755	78	0.978241729	18.875
756	78	0.979559771	18.9
757	78	0.980878299	18.925
758	78	0.98219634	18.95
759	78	0.983514868	18.975
760	79	0.98483291	19
761	79	0.986151438	19.025
762	79	0.98746948	19.05
763	79	0.988788008	19.075
764	79	0.99010605	19.1
765	79	0.991424578	19.125
766	79	0.99274262	19.15
767	79	0.994061147	19.175
768	79	0.995379189	19.2
769	80	0.996697717	19.225
770	80	0.998015759	19.25
771	80	0.999334287	19.275
772	80	1	19.3
